"Plot Title: 21162232"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21162232, SEN S/N: 21162232)","Coupler Attached (LGR S/N: 21162232)","Host Connected (LGR S/N: 21162232)","End Of File (LGR S/N: 21162232)"
1,09/24/21 01:00:00 PM,32.807,,,
2,09/24/21 02:00:00 PM,35.009,,,
3,09/24/21 03:00:00 PM,35.435,,,
4,09/24/21 04:00:00 PM,26.000,,,
5,09/24/21 05:00:00 PM,26.097,,,
6,09/24/21 06:00:00 PM,22.429,,,
7,09/24/21 07:00:00 PM,19.948,,,
8,09/24/21 08:00:00 PM,18.521,,,
9,09/24/21 09:00:00 PM,18.140,,,
10,09/24/21 10:00:00 PM,17.094,,,
11,09/24/21 11:00:00 PM,16.141,,,
12,09/25/21 12:00:00 AM,14.325,,,
13,09/25/21 01:00:00 AM,13.654,,,
14,09/25/21 02:00:00 AM,12.594,,,
15,09/25/21 03:00:00 AM,12.013,,,
16,09/25/21 04:00:00 AM,11.334,,,
17,09/25/21 05:00:00 AM,10.846,,,
18,09/25/21 06:00:00 AM,10.357,,,
19,09/25/21 07:00:00 AM,10.063,,,
20,09/25/21 08:00:00 AM,12.690,,,
21,09/25/21 09:00:00 AM,17.379,,,
22,09/25/21 10:00:00 AM,16.713,,,
23,09/25/21 11:00:00 AM,19.092,,,
24,09/25/21 12:00:00 PM,21.569,,,
25,09/25/21 01:00:00 PM,36.620,,,
26,09/25/21 02:00:00 PM,36.187,,,
27,09/25/21 03:00:00 PM,35.971,,,
28,09/25/21 04:00:00 PM,27.567,,,
29,09/25/21 05:00:00 PM,29.652,,,
30,09/25/21 06:00:00 PM,21.855,,,
31,09/25/21 07:00:00 PM,18.901,,,
32,09/25/21 08:00:00 PM,17.475,,,
33,09/25/21 09:00:00 PM,16.427,,,
34,09/25/21 10:00:00 PM,15.282,,,
35,09/25/21 11:00:00 PM,13.461,,,
36,09/26/21 12:00:00 AM,12.980,,,
37,09/26/21 01:00:00 AM,12.594,,,
38,09/26/21 02:00:00 AM,12.110,,,
39,09/26/21 03:00:00 AM,12.883,,,
40,09/26/21 04:00:00 AM,11.722,,,
41,09/26/21 05:00:00 AM,12.013,,,
42,09/26/21 06:00:00 AM,13.269,,,
43,09/26/21 07:00:00 AM,13.654,,,
44,09/26/21 08:00:00 AM,14.421,,,
45,09/26/21 09:00:00 AM,15.473,,,
46,09/26/21 10:00:00 AM,18.140,,,
47,09/26/21 11:00:00 AM,18.426,,,
48,09/26/21 12:00:00 PM,22.812,,,
49,09/26/21 01:00:00 PM,19.567,,,
50,09/26/21 02:00:00 PM,19.758,,,
51,09/26/21 03:00:00 PM,17.950,,,
52,09/26/21 04:00:00 PM,15.569,,,
53,09/26/21 05:00:00 PM,15.282,,,
54,09/26/21 06:00:00 PM,14.517,,,
55,09/26/21 07:00:00 PM,13.654,,,
56,09/26/21 08:00:00 PM,14.038,,,
57,09/26/21 09:00:00 PM,14.325,,,
58,09/26/21 10:00:00 PM,14.709,,,
59,09/26/21 11:00:00 PM,15.855,,,
60,09/27/21 12:00:00 AM,15.473,,,
61,09/27/21 01:00:00 AM,15.282,,,
62,09/27/21 02:00:00 AM,15.282,,,
63,09/27/21 03:00:00 AM,13.846,,,
64,09/27/21 04:00:00 AM,13.365,,,
65,09/27/21 05:00:00 AM,13.076,,,
66,09/27/21 06:00:00 AM,11.819,,,
67,09/27/21 07:00:00 AM,11.625,,,
68,09/27/21 08:00:00 AM,13.076,,,
69,09/27/21 09:00:00 AM,14.038,,,
70,09/27/21 10:00:00 AM,12.594,,,
71,09/27/21 11:00:00 AM,13.750,,,
72,09/27/21 12:00:00 PM,12.980,,,
73,09/27/21 01:00:00 PM,13.942,,,
74,09/27/21 02:00:00 PM,16.237,,,
75,09/27/21 03:00:00 PM,15.855,,,
76,09/27/21 04:00:00 PM,16.141,,,
77,09/27/21 05:00:00 PM,18.426,,,
78,09/27/21 06:00:00 PM,15.282,,,
79,09/27/21 07:00:00 PM,10.651,,,
80,09/27/21 08:00:00 PM,11.041,,,
81,09/27/21 09:00:00 PM,10.748,,,
82,09/27/21 10:00:00 PM,10.357,,,
83,09/27/21 11:00:00 PM,11.236,,,
84,09/28/21 12:00:00 AM,10.944,,,
85,09/28/21 01:00:00 AM,10.846,,,
86,09/28/21 02:00:00 AM,10.553,,,
87,09/28/21 03:00:00 AM,9.768,,,
88,09/28/21 04:00:00 AM,9.472,,,
89,09/28/21 05:00:00 AM,9.472,,,
90,09/28/21 06:00:00 AM,9.571,,,
91,09/28/21 07:00:00 AM,10.651,,,
92,09/28/21 08:00:00 AM,11.625,,,
93,09/28/21 09:00:00 AM,13.173,,,
94,09/28/21 10:00:00 AM,14.325,,,
95,09/28/21 11:00:00 AM,16.713,,,
96,09/28/21 12:00:00 PM,16.999,,,
97,09/28/21 01:00:00 PM,14.421,,,
98,09/28/21 02:00:00 PM,21.664,,,
99,09/28/21 03:00:00 PM,24.835,,,
100,09/28/21 04:00:00 PM,15.187,,,
101,09/28/21 05:00:00 PM,20.424,,,
102,09/28/21 06:00:00 PM,14.230,,,
103,09/28/21 07:00:00 PM,12.594,,,
104,09/28/21 08:00:00 PM,12.110,,,
105,09/28/21 09:00:00 PM,11.139,,,
106,09/28/21 10:00:00 PM,11.041,,,
107,09/28/21 11:00:00 PM,10.651,,,
108,09/29/21 12:00:00 AM,10.846,,,
109,09/29/21 01:00:00 AM,10.846,,,
110,09/29/21 02:00:00 AM,10.846,,,
111,09/29/21 03:00:00 AM,10.944,,,
112,09/29/21 04:00:00 AM,10.944,,,
113,09/29/21 05:00:00 AM,9.965,,,
114,09/29/21 06:00:00 AM,10.944,,,
115,09/29/21 07:00:00 AM,11.431,,,
116,09/29/21 08:00:00 AM,12.304,,,
117,09/29/21 09:00:00 AM,13.076,,,
118,09/29/21 10:00:00 AM,14.230,,,
119,09/29/21 11:00:00 AM,14.804,,,
120,09/29/21 12:00:00 PM,16.523,,,
121,09/29/21 01:00:00 PM,17.760,,,
122,09/29/21 02:00:00 PM,15.282,,,
123,09/29/21 03:00:00 PM,16.237,,,
124,09/29/21 04:00:00 PM,17.094,,,
125,09/29/21 05:00:00 PM,16.618,,,
126,09/29/21 06:00:00 PM,15.091,,,
127,09/29/21 07:00:00 PM,14.134,,,
128,09/29/21 08:00:00 PM,14.038,,,
