WptNo,Hobo_SN,Pole_No,Location,DBH_cm,DistFromLogger_m,Species,,,,
1,21223135,TP20080/A1346783,"64th at edge of Wapato, across from Sound Christian Academy",38.5,4,Acer,,,,
1,21223135,TP20080/A1346783,"64th at edge of Wapato, across from Sound Christian Academy",52,6,Prunus,,,,
1,21223135,TP20080/A1346783,"64th at edge of Wapato, across from Sound Christian Academy",40,9,Acer,,,,
1,21223135,TP20080/A1346783,"64th at edge of Wapato, across from Sound Christian Academy",42.5,7,Prunus,,,,
1,21223135,TP20080/A1346783,"64th at edge of Wapato, across from Sound Christian Academy",35.5,9,Acer,,,,
2,21223128,A1346792,62nd and Wapato Street,44,6,Acer,,,,
2,21223128,A1346792,62nd and Wapato Street,47,10,Acer,,,,
3,21223117,WH1,Wapato Hills 1,86,0,Psemen,,,,
3,21223117,WH1,Wapato Hills 1,4,3,Crataegus,,,,
3,21223117,WH1,Wapato Hills 1,15,6,Crataegus,,,,
3,21223117,WH1,Wapato Hills 1,22,6,Crataegus,,,,
3,21223117,WH1,Wapato Hills 1,3,6,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,5,6,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,11,6,Crataegus,,,,
3,21223117,WH1,Wapato Hills 1,11,6,Crataegus,,,,
3,21223117,WH1,Wapato Hills 1,2,8,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,16.5,8,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,2,6,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,2,7,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,4,7,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,5,7,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,3,6,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,3.5,7,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,3,7,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,3.5,9,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,26,10,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,22,10,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,8,10,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,6.5,8,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,11,8,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,2.5,8,Prunus,,,,
3,21223117,WH1,Wapato Hills 1,3.5,7,Prunus,,,,
